epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,12516.4,1.63875,1.34762,1.2418,0.43276,0.84442,0.49764,0.25792,1.67462,1.29659,1.3339,0.008812,0.008812,0.008812
14,13417.8,1.61496,1.30266,1.2316,0.45441,0.82755,0.48127,0.26451,1.56079,1.22087,1.2869,0.008713,0.008713,0.008713
15,14414.4,1.59444,1.2744,1.22306,0.46062,0.83938,0.50357,0.2752,1.58817,1.1975,1.28563,0.008614,0.008614,0.008614
16,15096.3,1.58019,1.25107,1.21017,0.45374,0.87326,0.5084,0.25959,1.6546,1.19743,1.31026,0.008515,0.008515,0.008515
17,16178.1,1.54802,1.22738,1.19705,0.44732,0.87496,0.48824,0.24362,1.74803,1.2425,1.34297,0.008416,0.008416,0.008416
18,17277.8,1.52909,1.19424,1.19938,0.45575,0.89548,0.52904,0.31117,1.47022,1.15607,1.24169,0.008317,0.008317,0.008317
19,18387.4,1.52278,1.17379,1.18434,0.46647,0.87486,0.51459,0.25963,1.71514,1.19669,1.32712,0.008218,0.008218,0.008218
20,19288.7,1.49981,1.15785,1.18242,0.45525,0.88933,0.50179,0.24597,1.76156,1.17255,1.33978,0.008119,0.008119,0.008119
21,20354.8,1.4825,1.1437,1.17428,0.46117,0.88136,0.51339,0.29126,1.46716,1.12482,1.22826,0.00802,0.00802,0.00802
22,21302.1,1.46839,1.13023,1.16531,0.46679,0.87995,0.50414,0.268,1.64881,1.14608,1.28916,0.007921,0.007921,0.007921
23,22544.2,1.43675,1.10123,1.14857,0.46613,0.88114,0.5082,0.26693,1.66364,1.14564,1.28838,0.007822,0.007822,0.007822
24,23818.4,1.42979,1.09666,1.14967,0.47527,0.9059,0.52008,0.32052,1.35252,1.08829,1.19407,0.007723,0.007723,0.007723
25,25116,1.42149,1.0783,1.14994,0.46714,0.90264,0.52291,0.31158,1.41658,1.12209,1.20194,0.007624,0.007624,0.007624
26,26096.6,1.41046,1.06639,1.13829,0.46168,0.91571,0.52433,0.28371,1.60849,1.10313,1.26468,0.007525,0.007525,0.007525
27,27402.6,1.39153,1.04713,1.12992,0.46324,0.91609,0.50573,0.29524,1.45281,1.09762,1.2229,0.007426,0.007426,0.007426
28,28286.5,1.38331,1.03158,1.12727,0.48081,0.89353,0.52329,0.28505,1.60807,1.09062,1.26448,0.007327,0.007327,0.007327
29,29239.1,1.37133,1.0212,1.12115,0.47867,0.92597,0.53408,0.31462,1.42013,1.05165,1.19748,0.007228,0.007228,0.007228
30,30055,1.3401,1.00778,1.10853,0.47565,0.92374,0.53473,0.31507,1.42553,1.05988,1.19872,0.007129,0.007129,0.007129
31,31142.3,1.33341,1.01102,1.10416,0.47901,0.93031,0.53028,0.31725,1.40313,1.03301,1.1954,0.00703,0.00703,0.00703
32,31929.1,1.31666,0.99085,1.1023,0.47977,0.93516,0.52944,0.32697,1.35121,1.01684,1.17773,0.006931,0.006931,0.006931
33,32670.1,1.31443,0.98913,1.09826,0.47967,0.9086,0.526,0.30244,1.54117,1.06216,1.23655,0.006832,0.006832,0.006832
34,33809,1.30979,0.97859,1.09251,0.48654,0.93031,0.53732,0.32954,1.3646,1.02201,1.17143,0.006733,0.006733,0.006733
35,34938.2,1.28277,0.95805,1.08613,0.47846,0.90446,0.52943,0.30922,1.48803,1.04714,1.21854,0.006634,0.006634,0.006634
36,35817.1,1.27703,0.95614,1.08199,0.47315,0.92788,0.52,0.28807,1.59413,1.0464,1.26261,0.006535,0.006535,0.006535
37,36838.8,1.27032,0.94693,1.07927,0.48077,0.90985,0.53905,0.31117,1.48351,1.01486,1.21217,0.006436,0.006436,0.006436
38,37624.1,1.26293,0.93916,1.07803,0.48087,0.92859,0.52783,0.33399,1.31276,1.00795,1.1549,0.006337,0.006337,0.006337
39,38651.3,1.25251,0.94108,1.07644,0.48363,0.92255,0.52963,0.33685,1.30288,0.99718,1.15198,0.006238,0.006238,0.006238
40,39460.8,1.26199,0.93683,1.07348,0.47813,0.92618,0.52752,0.3192,1.42477,1.02657,1.18378,0.006139,0.006139,0.006139
41,40504.6,1.23474,0.91678,1.06569,0.49263,0.92944,0.54277,0.33818,1.36577,1.00284,1.16551,0.00604,0.00604,0.00604
42,41342.5,1.22729,0.91186,1.06524,0.48349,0.93137,0.53368,0.33215,1.39346,1.00247,1.18156,0.005941,0.005941,0.005941
